자치구,대여소명,기준년월,대여건수,반납건수
강남구,4911. 도곡동 골프 로데오거리,202207, 48 , 48 
강남구,4913. 레베쌍트 빌딩 앞,202207, 30 , 31 
강남구,4914. 도심공항타워 앞,202207, 7 , 7 
강동구,1001. 광진교 남단 사거리(천호공원 방면),202207," 2,163 "," 2,164 "
강동구,1002. 해공공원(천호동),202207," 3,085 "," 3,111 "
강동구,1003. 해공도서관앞,202207," 1,252 "," 1,262 "
강동구,1004. 삼성광나루아파트 버스정류장,202207," 1,992 "," 2,671 "
강동구,1006. 롯데캐슬 115동앞,202207, 346 , 341 
강동구,1007.암사동 선사유적지,202207, 239 , 213 
강동구,1008. 암사역 3번출구(국민은행앞),202207," 4,505 "," 5,517 "
강동구,1009. 천호역4번출구(현대백화점),202207," 5,642 "," 5,628 "
강동구,1010. 강동세무서,202207," 3,325 "," 3,313 "
강동구,1011. LIGA 아파트 앞,202207," 3,590 "," 3,539 "
강동구,1012. 서울 상운차량,202207," 1,631 "," 1,616 "
강동구,1013. 강동구청역 1번 출입구,202207," 2,545 "," 2,520 "
강동구,1015. 샛마을 근린공원,202207," 1,080 "," 1,075 "
강동구,1016. 해뜨는 주유소옆 리엔파크 109동앞,202207, 954 , 951 
강동구,1017. 둔촌고교입구 교차로(길동주민센터 방면),202207," 2,385 "," 2,358 "
강동구,1018. 둔촌 주공 GS 맞은편,202207, 943 , 945 
강동구,1019. 다성이즈빌아파트(호원대 대각선 맞은편),202207," 4,346 "," 4,514 "
강동구,1020. 강동경찰서,202207," 4,391 "," 4,421 "
강동구,1021. 강일동 리슈빌 빌딩앞,202207," 2,055 "," 2,509 "
강동구,1022. 길동 사거리(초소앞),202207," 2,150 "," 2,150 "
강동구,1023. 한국종합기술사옥 앞,202207," 2,933 "," 2,909 "
강동구,1024.  강동구청 앞,202207," 3,583 "," 3,591 "
강동구,1025. 상일초등학교,202207, 848 , 821 
강동구,1026. 대명초교 입구 교차로,202207, 811 , 798 
강동구,1027. 프라자 아파트 앞,202207," 1,514 "," 1,483 "
강동구,1028. 포레스 주상복합 빌딩,202207," 2,013 "," 2,003 "
강동구,1029. 성내어울터,202207," 3,393 "," 3,371 "
강동구,1030. 미호 플랜트 앞,202207," 1,641 "," 1,650 "
강동구,1031. 올림픽로 836(아리수로),202207, 669 , 864 
강동구,1032. 선사고등학교,202207, 685 , 790 
강동구,1033. 고덕동 아남아파트,202207," 1,005 ", 938 
강동구,1034. 고덕동 래미안 힐스테이트,202207, 493 , 457 
강동구,1035. 고덕역 4번출구,202207," 2,229 "," 1,539 "
강동구,1036. 고덕동 주양쇼핑,202207," 1,353 "," 1,336 "
강동구,1037. 강일리버파크 6단지,202207, 415 , 453 
